SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
VGUARD,EQ,445,446.15,427.05,436.25,436.1,443.9,528372,229600296.65,07-Oct-2024,35499,INE951I01027
XCHANGING,EQ,116,116.75,108,108.64,108.31,115.88,429226,47545241.29,07-Oct-2024,6747,INE692G01013
LAOPALA,EQ,345.9,346.1,331,333.3,332.05,344.4,161503,54356878.30,07-Oct-2024,11454,INE059D01020
MANAKALUCO,BE,33.75,33.75,30.8,30.84,31.5,32.43,63765,2041952.54,07-Oct-2024,325,INE859Q01017
ZUARIIND,EQ,345.9,349.3,324,326.25,325.05,343.25,110309,36561350.65,07-Oct-2024,4003,INE217A01012
BAGFILMS,EQ,12.7,13.24,11.39,11.72,11.75,12.66,2546082,30124436.17,07-Oct-2024,4872,INE116D01028
CANFINHOME,EQ,852.05,858.3,821,824.1,823.8,847.15,309966,258633826.95,07-Oct-2024,32517,INE477A01020
PLAZACABLE,EQ,82.1,83.9,77.02,79.57,79.41,82.5,168394,13364351.76,07-Oct-2024,3748,INE0INJ01017
REVATHIEQU,EQ,2450.3,2497.45,2330,2356.3,2364.15,2438.3,4811,11529142.00,07-Oct-2024,711,INE0DAB01012
RNFI,SM,135.25,136,124.1,126.4,126.9,136.4,81600,10508880.00,07-Oct-2024,67,INE0SA001017
SAKUMA,BE,4.98,5.11,4.73,4.73,4.73,4.98,3326044,15902931.41,07-Oct-2024,6191,INE190H01024
EBBETF0431,EQ,1274.45,1277.3,1265.51,1266.68,1265.51,1274.44,11163,14178351.57,07-Oct-2024,308,INF754K01LE1
GEPIL,BE,382,386.6,362.1,362.1,362.1,381.15,94243,34557899.90,07-Oct-2024,1944,INE878A01011
BANKIETF,EQ,52.83,52.83,51.2,51.73,51.63,52.41,559408,29069382.09,07-Oct-2024,3719,INF109KC15I8
JUBLINDS,EQ,1744,1744,1578.25,1586.1,1578.25,1661.3,14221,23610121.65,07-Oct-2024,1743,INE645L01011
ABSLLIQUID,EQ,1000,1000.01,999.99,999.99,1000,1000,30775,30774866.24,07-Oct-2024,192,INF209KB18T9
NELCAST,EQ,130.42,131.36,124.35,125.79,125.9,130.41,120554,15209824.53,07-Oct-2024,1945,INE189I01024
NINSYS,EQ,551,569.75,524.5,533.85,531,561,26415,14326927.90,07-Oct-2024,1998,INE395U01014
SCHAND,EQ,212.65,213.3,202.15,207.18,206.01,212.13,109962,22704351.01,07-Oct-2024,3466,INE807K01035
COUNCODOS,BE,6.96,7.15,6.63,6.69,6.72,6.98,44911,303235.97,07-Oct-2024,170,INE695B01025
GROWWEV,EQ,34.27,34.4,33,33.5,33.32,33.99,1683036,56264594.82,07-Oct-2024,14263,INF666M01IH2
SWARAJENG,EQ,3114.2,3120,2969.6,2984.25,2996.95,3098.7,10209,30782976.95,07-Oct-2024,2855,INE277A01016
TOLINS,EQ,194.99,196.59,178.5,186.34,186.31,183.18,371284,69513055.83,07-Oct-2024,15432,INE0RWQ01014
IRFC,EQ,152.07,153.45,143.2,144.35,144.44,152.07,35658511,5218897806.52,07-Oct-2024,385283,INE053F01010
KODYTECH,SM,3396,3396,3227.55,3227.55,3227.55,3397.4,5500,17879825.00,07-Oct-2024,52,INE0Q7P01013
MARSHALL,EQ,35,37.5,33.8,34.71,34.55,35.46,213578,7557556.83,07-Oct-2024,3124,INE00SZ01018
MAHKTECH,EQ,21.57,21.57,21.5,21.57,21.57,21.68,3972080,85667489.76,07-Oct-2024,6009,INF769K01HS7
ANZEN,IV,101.5,101.5,101.5,101.5,101.5,101.66,600000,60900000.00,07-Oct-2024,3,INE0MIZ23019
ARVSMART,EQ,796.75,814.2,755,774.15,775.35,786.8,65881,51149788.70,07-Oct-2024,3384,INE034S01021
ATAM,EQ,144,149.7,141.99,143.67,143.15,150.25,44235,6450435.34,07-Oct-2024,1452,INE09KD01013
POLYPLEX,EQ,1131.5,1140,1071.4,1085.75,1091,1123.7,151293,164636902.20,07-Oct-2024,14194,INE633B01018
RTNINDIA,EQ,74.26,74.26,69.01,69.34,69.45,73.16,5585028,393345795.41,07-Oct-2024,40843,INE834M01019
DELHIVERY,EQ,410.95,411.95,398.35,404.05,402.9,408.15,1164276,470232992.90,07-Oct-2024,62361,INE148O01028
754GS2036,GS,108.75,108.8,107.5,107.74,107.94,108.54,766275,82931145.08,07-Oct-2024,235,IN0020220029
TATATECH,EQ,1065,1070.65,1016.5,1025.85,1026.9,1057.45,2132467,2208097468.70,07-Oct-2024,87568,INE142M01025
MNC,EQ,32.94,32.94,30.96,31.7,31.93,32.5,127956,4059534.26,07-Oct-2024,963,INF174KA1JF2
KOTHARIPRO,BE,168.31,168.31,155.99,155.99,155.99,164.2,6208,989865.17,07-Oct-2024,177,INE823A01017
IXIGO,EQ,149.4,150.09,142,144.12,145,147.82,417705,60280481.54,07-Oct-2024,5163,INE0HV901016
SGBNOV258,GB,8100,8120,8100,8106.66,8100,8100,9,72960.00,07-Oct-2024,3,IN0020170109
BULKCORP,SM,124,124,118.9,122,122,123.15,63600,7664040.00,07-Oct-2024,31,INE0SZ301012
NEULANDLAB,EQ,12105,12247.1,11116.15,11343.3,11327.65,12077,52595,603028487.20,07-Oct-2024,15415,INE794A01010
PARSVNATH,BE,19.15,19.15,19.11,19.11,19.11,19.5,101547,1943326.93,07-Oct-2024,47,INE561H01026
RAIN,EQ,172,172.7,161,161.51,161.4,171.13,1916047,317056229.68,07-Oct-2024,26372,INE855B01025
FEL,BZ,0.83,0.84,0.81,0.81,0.81,0.83,82531,67105.83,07-Oct-2024,148,INE623B01027
HGINFRA,EQ,1480,1490,1417.3,1455.55,1461,1493.6,218060,318668889.95,07-Oct-2024,23920,INE926X01010
HINDPETRO,EQ,407.2,409.35,390.95,393.65,393.55,406.9,5679436,2253665510.85,07-Oct-2024,70275,INE094A01015
TCL,SM,175,178.5,164.1,172.45,172,180.2,77600,13149360.00,07-Oct-2024,79,INE0QJL01014
MMP,BE,352.8,369.95,348.1,348.1,348.1,366.4,28806,10148682.80,07-Oct-2024,384,INE511Y01018
MOTOGENFIN,EQ,41.8,41.8,37.99,37.99,37.99,39.99,19316,753846.90,07-Oct-2024,1115,INE861B01023
ZENSARTECH,EQ,684.1,684.15,661.8,667.7,670.7,674.15,608540,407018273.10,07-Oct-2024,48042,INE520A01027
851HUDCO28,NB,1115,1115,1115,1115,1115,1107.06,111,123765.00,07-Oct-2024,3,INE031A07915
AARTIPHARM,EQ,617,621.1,587.8,590.45,590,621.15,113827,68344944.80,07-Oct-2024,12001,INE0LRU01027
EXPLEOSOL,EQ,1289,1291,1245.85,1269.35,1269,1278.1,18001,22784099.40,07-Oct-2024,1882,INE201K01015
GRINFRA,EQ,1725.2,1725.2,1589.5,1600.5,1600,1682.25,30148,49301863.25,07-Oct-2024,5137,INE201P01022
GANESHHOUC,EQ,818.5,825.45,775.55,782.85,781.1,811.7,109640,87775695.60,07-Oct-2024,5261,INE460C01014
JSLL,SM,1599,1600,1501,1501.05,1502,1580,25920,39317535.00,07-Oct-2024,116,INE0J5801011
KKVAPOW,SM,672,672,672,672,672,640,312,209664.00,07-Oct-2024,2,INE239T01016
KRITI,EQ,229.9,231.29,208.03,212.26,214.5,224.94,106606,23030207.24,07-Oct-2024,2834,INE479D01038
LAKPRE,BZ,6.68,6.68,6.68,6.68,6.68,7.04,100,668.00,07-Oct-2024,1,INE651C01018
SGBNOV25VI,GB,8200,8200,8100,8100,8100,8025.95,37,300400.00,07-Oct-2024,8,IN0020170083
APOLLOTYRE,EQ,511.6,515,498.8,502.25,502,511.55,1811289,916420438.10,07-Oct-2024,40221,INE438A01022
CHEVIOT,EQ,1355,1376.95,1281.1,1314.3,1318.45,1360,6711,8904704.80,07-Oct-2024,1135,INE974B01016
GANDHAR,EQ,215.7,222.57,210,212.27,212.5,214.47,1260828,273480262.26,07-Oct-2024,21969,INE717W01049
723GS2039,GS,106.06,106.06,106.06,106.06,106.06,106.12,200,21212.00,07-Oct-2024,2,IN0020240027
HDFCBANK,EQ,1652.2,1659,1613,1617.8,1623.05,1657.65,47229148,77056814750.10,07-Oct-2024,535347,INE040A01034
SIRCA,EQ,336.25,339.55,317,319.7,321,333.85,92313,29918582.60,07-Oct-2024,3287,INE792Z01011
BHAGYANGR,EQ,102.39,103.63,97.95,99.3,99.28,102.39,59556,5933121.48,07-Oct-2024,1433,INE458B01036
BSL,EQ,214.12,219.5,203,205.68,207,214.12,17946,3739628.90,07-Oct-2024,1052,INE594B01012
ROSSARI,EQ,877,884.65,821,834.05,840,876.7,153040,128678135.65,07-Oct-2024,18095,INE02A801020
ESAFSFB,EQ,47.69,48.09,44.55,44.9,45,46.82,1866376,85094274.15,07-Oct-2024,11547,INE818W01011
738GS2027,GS,101.14,103.99,101.14,103.56,103.55,103.73,125920,13045122.18,07-Oct-2024,61,IN0020220037
364D121224,TB,98.66,98.66,98.66,98.66,98.66,98.6,100,9866.00,07-Oct-2024,1,IN002023Z398
HDFCGROWTH,EQ,129.62,130.99,128.05,129.65,130.19,129.63,10338,1335216.62,07-Oct-2024,278,INF179KC1DJ0
CONSUMIETF,EQ,127.25,127.63,125,125.9,126.18,127.28,54588,6866887.43,07-Oct-2024,893,INF109KC1V42
TALBROAUTO,EQ,315.05,326.05,300,301.8,302.8,317.35,169071,51703703.70,07-Oct-2024,6226,INE187D01029
TTML,EQ,81.95,82.5,76.22,77.1,77.15,81.45,6095352,477195770.85,07-Oct-2024,48610,INE517B01013
JETFREIGHT,BE,16.19,16.19,15.15,15.15,15.15,15.95,92359,1417401.39,07-Oct-2024,425,INE982V01025
